Energy_code,Energy_source
PQTCB,Propane total consumption
PQTCD,"Propane average price, all sectors"
PQTCP,Propane total consumption
PQTCV,Propane total expenditures
PQTXB,Propane total end-use consumption
PQTXD,"Propane average price, all end-use sectors"
PQTXP,Propane total end-use consumption
PQTXV,Propane total end-use expenditures
PYICB,Propylene from refineries consumed by the industrial sector
PYICP,Propylene from refineries consumed by the industrial sector
PYTCB,Propylene from refineries total consumption
PYTCP,Propylene from refineries total consumption
REPRB,Renewable energy production
RETCB,Renewable energy total consumption
RFACB,Residual fuel oil consumed by the transportation sector
RFACD,Residual fuel oil price in the transportation sector
RFACP,Residual fuel oil consumed by the transportation sector
RFACV,Residual fuel oil expenditures in the transportation sector
RFCCB,Residual fuel oil consumed by the commercial sector
RFCCD,Residual fuel oil price in the commercial sector
RFCCP,Residual fuel oil consumed by the commercial sector
RFCCV,Residual fuel oil expenditures in the commercial sector
RFEIB,Residual fuel oil consumed by the electric power sector
RFEID,Residual fuel oil price in the electric power sector
RFEIP,Residual fuel oil consumed by the electric power sector
RFEIV,Residual fuel oil expenditures in the electric power sector
RFICB,Residual fuel oil consumed by the industrial sector
RFICD,Residual fuel oil price in the industrial sector
RFICP,Residual fuel oil consumed by the industrial sector
RFICV,Residual fuel oil expenditures in the industrial sector
RFISB,Residual fuel oil consumed by the industrial sector excluding refinery fuel
RFRFB,Residual fuel oil consumed as refinery fuel
RFSCB,Residential fuel oil total consumption excluding process fuel
RFTCB,Residual fuel oil total consumption
RFTCD,"Residual fuel oil average price, all sectors"
RFTCP,Residual fuel oil total consumption
RFTCV,Residual fuel oil total expenditures
RFTXB,Residual fuel oil total end-use consumption
RFTXD,"Residual fuel oil average price, all end-use sectors"
RFTXP,Residual fuel oil total end-use consumption
RFTXV,Residual fuel oil total end-use expenditures
SFCCB,Supplemental gaseous fuels consumed by the commercial sector
SFEIB,Supplemental gaseous fuels consumed by the electric power sector
SFINB,Supplemental gaseous fuels consumed by the industrial sector
SFRCB,Supplemental gaseous fuels consumed by the residential sector
SFTCB,Supplemental gaseous fuels total consumption
SGICB,Still gas consumed by the industrial sector
SGICP,Still gas consumed by the industrial sector
SNICB,Special naphthas consumed by the industrial sector
SNICD,Special naphthas price in the industrial sector
SNICP,Special naphthas consumed by the industrial sector
SNICV,Special naphthas expenditures in the industrial sector
SOCCB,Solar energy consumed by the commercial sector
SOCCP,Solar thermal and photovoltaic electricity net generation in the commercial sector
SOEGB,Solar energy consumed for electricity generation by the electric power sector
SOEGP,Solar thermal and photovoltaic electricity net generation in the electric power sector
SOICB,Solar energy consumed by the industrial sector
SOICP,Solar thermal and photovoltaic electricity net generation in the industrial sector
SOR7P,Solar photovoltaic electricity generation by small-scale applications in the residential sector
SORCB,Solar energy consumed by the residential sector
SOTCB,Solar energy total consumption
SOTGP,Solar thermal and photovoltaic electricity total net generation
SOTXB,Solar energy total end-use consumption
TEACB,Total energy consumed by the transportation sector
TEACD,Total energy average price in the transportation sector
TEACV,Total energy expenditures in the transportation sector
TEAPB,Total energy consumption per capita in the transportation sector
TECCB,Total energy consumed by the commercial sector
TECCD,Total energy average price in the commercial sector
TECCV,Total energy expenditures in the commercial sector
TECPB,Total energy consumption per capita in the commercial sector
TEEIB,Total energy consumed by the electric power sector
TEGDS,Energy expenditures as percent of current-dollar GDP
TEICB,Total energy consumed by the industrial sector
TEICD,Total energy average price in the industrial sector
TEICV,Total energy expenditures in the industrial sector
TEIPB,Total energy consumption per capita in the industrial sector
TEPFB,Total energy used as process fuel and other consumption that has no direct fuel costs
TEPRB,Total primary energy production
TERCB,Total energy consumed by the residential sector
TERCD,Total energy average price in the residential sector
TERCV,Total energy expenditures in the residential sector
TERFB,Total energy used as refinery fuel and intermediate products
TERPB,Total energy consumption per capita in the residential sector
TETCB,Total energy consumption
TETCD,Total energy average price
TETCV,Total energy expenditures
TETGR,Total energy consumed per dollar of real gross domestic product
TETPB,Total energy consumption per capita
TETPV,Total energy expenditures per capita
TETXB,Total end-use energy consumption
TETXD,Total end-use energy average price
TETXV,Total end-use energy expenditures
TNACB,Total energy consumed by the transportation sector excluding the sector's share of electrical system energy losses
TNASB,"Total net energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost"
TNCCB,Total energy consumed by the commercial sector excluding the sector's share of electrical system energy losses
TNCSB,"Total net energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost"
TNICB,Total energy consumed by the industrial sector excluding the sector's share of electrical system energy losses
TNISB,"Total net energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost"
TNRCB,Total energy consumed by the residential sector excluding the sector's share of electrical system energy losses
TNRSB,"Total net energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost"
TNSCB,"Total net energy consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost"
TNTXB,Total primary energy and electricity consumed by the end-use sectors
TPOPP,Resident population including Armed Forces
UOICB,Unfinished oils consumed by the industrial sector
UOICP,Unfinished oils consumed by the industrial sector
USICB,Unfractionated streams consumed by the industrial sector (through 1983)
USICP,Unfractionated streams consumed by the industrial sector (through 1983)
WDCCB,Wood energy consumed by the commercial sector
WDEIB,Wood energy consumed by the electric power sector
WDEXB,Densified biomass exports
WDICB,Wood energy consumed by the industrial sector
WDPRB,Wood energy production
WDRCB,Wood energy consumed by the residential sector
WDRCD,Wood energy price in the residential sector
WDRCV,Wood energy expenditures in the residential sector
WDRSB,Wood energy consumed in the residential sector at a cost
WDRXB,Wood energy consumed in the residential sector at no cost
WDTCB,Wood energy total consumption
WSCCB,Waste energy consumed by the commercial sector
WSEIB,Waste energy consumed by the electric power sector
WSICB,Waste energy consumed by the industrial sector
WSTCB,Waste energy total consumption
WWCCB,Wood and waste energy consumed in the commercial sector
WWCCD,Wood and waste energy price in the commercial sector
WWCCV,Wood and waste energy expenditures in the commercial sector
WWCSB,Wood and waste energy consumed in the commercial sector at a cost
WWCXB,Wood and waste energy consumed in the commercial sector at no cost
WWEIB,Wood and waste energy consumed by the electric power sector
WWEID,Wood and waste energy price in the electric power sector
WWEIV,Wood and waste energy expenditures in the electric power sector
WWICB,Wood and waste energy consumed in the industrial sector
WWICD,Wood and waste energy price in the industrial sector
WWICV,Wood and waste energy expenditures in the industrial sector
WWISB,Wood and waste energy consumed in the industrial sector at a cost
WWIXB,Wood and waste energy consumed in the industrial sector at no cost
WWPRB,Wood and waste energy production
WWSCB,"Wood and waste energy total consumption, adjusted for fuels with no direct cost"
WWTCB,Wood and waste energy total consumption
WWTCD,"Wood and waste energy average price, all sectors"
WWTCV,Wood and waste energy total expenditures
WWTXB,Wood and waste energy total end-use consumption
WWTXD,"Wood and waste energy average price, all end-use sectors"
WWTXV,Wood and waste energy total end-use expenditures
WXICB,Waxes consumed by the industrial sector
WXICD,Waxes price in the industrial sector
WXICP,Waxes consumed by the industrial sector
WXICV,Waxes expenditures in the industrial sector
WYCCB,Wind energy consumed by the commercial sector
WYCCP,Wind electricity net generation in the commercial sector
WYEGB,Wind energy consumed for electricity generation by the electric power sector
WYEGP,Wind electricity net generation in the electric power sector
WYICB,Wind energy consumed by the industrial sector
WYICP,Wind electricity net generation in the industrial sector
WYTCB,Wind energy total consumption
WYTCP,Wind electricity total net generation
WYTXB,Wind energy total end-use consumption
WYTXP,Wind energy total end-use net generation
